MES,BASURA,COD_DISTRITO,DISTRITO,TOTAL_KG_MUEBLES,MUEBLES,TOTAL_ENVASES,ENVASES,TOTAL_PAPEL_Y_CARTON,PAPEL_Y_CARTON,REPOSICION_BOLSAS_CANINAS,BOLSAS_CANINAS
SEPTIEMBRE,Basura,10,LATINA,241.18,Mueble,540,Envase,11.69,Papel_y_Carton,443.1,Bolsas_caninas
SEPTIEMBRE,Basura,15,CIUDAD LINEAL,114.835,Mueble,144,Envase,23.842,Papel_y_Carton,635.69,Bolsas_caninas
SEPTIEMBRE,Basura,16,HORTALEZA,167.468,Mueble,210,Envase,34.769,Papel_y_Carton,598.27,Bolsas_caninas
SEPTIEMBRE,Basura,20,SAN BLAS,124.405,Mueble,156,Envase,25.828,Papel_y_Carton,588.05,Bolsas_caninas
SEPTIEMBRE,Basura,21,BARAJAS,71.772,Mueble,90,Envase,14.901,Papel_y_Carton,450.38,Bolsas_caninas
SEPTIEMBRE,Basura,13,PUENTE DE VALLECAS ,215.418,Mueble,500,Envase,23.251,Papel_y_Carton,664.83,Bolsas_caninas
SEPTIEMBRE,Basura,18,VILLA DE VALLECAS ,77.323,Mueble,220,Envase,9.965,Papel_y_Carton,371.44,Bolsas_caninas
SEPTIEMBRE,Basura,14,MORATALAZ,171.192,Mueble,560,Envase,26.572,Papel_y_Carton,283.86,Bolsas_caninas
SEPTIEMBRE,Basura,19,VICÁLVARO,51.547,Mueble,140,Envase,6.643,Papel_y_Carton,321.39,Bolsas_caninas
SEPTIEMBRE,Basura,11,CARABANCHEL,230.416,Mueble,40,Envase,30.888,Papel_y_Carton,605.85,Bolsas_caninas
SEPTIEMBRE,Basura,12,USERA,144.01,Mueble,25,Envase,19.328,Papel_y_Carton,382.27,Bolsas_caninas
SEPTIEMBRE,Basura,17,VILLAVERDE,201.614,Mueble,35,Envase,27.034,Papel_y_Carton,419.65,Bolsas_caninas
OCTUBRE,Basura,1,CENTRO ,72.77,Mueble,1.83,Envase,16.62,Papel_y_Carton,906.4,Bolsas_caninas
OCTUBRE,Basura,6,TETUÁN,84.32,Mueble,180,Envase,6.88,Papel_y_Carton,514.7,Bolsas_caninas
OCTUBRE,Basura,7,CHAMBERÍ,61.94,Mueble,420,Envase,8.28,Papel_y_Carton,408.78,Bolsas_caninas
OCTUBRE,Basura,2,ARGANZUELA,52.26,Mueble,0,Envase,5.96,Papel_y_Carton,423.79,Bolsas_caninas
OCTUBRE,Basura,3,RETIRO,57.58,Mueble,1.26,Envase,26.68,Papel_y_Carton,381.37,Bolsas_caninas
OCTUBRE,Basura,4,SALAMANCA,36.14,Mueble,820,Envase,3.32,Papel_y_Carton,411.94,Bolsas_caninas
OCTUBRE,Basura,5,CHAMARTÍN,51.74,Mueble,0,Envase,15.64,Papel_y_Carton,451.89,Bolsas_caninas
OCTUBRE,Basura,8,FUENCARRAL,166.4,Mueble,280,Envase,26.4,Papel_y_Carton,452.82,Bolsas_caninas
OCTUBRE,Basura,9,MONCLOA,65.76,Mueble,0,Envase,12.44,Papel_y_Carton,285.64,Bolsas_caninas
OCTUBRE,Basura,10,LATINA,244.16,Mueble,1.1,Envase,13.14,Papel_y_Carton,459.1,Bolsas_caninas
OCTUBRE,Basura,15,CIUDAD LINEAL,98.6,Mueble,86,Envase,22.824,Papel_y_Carton,651.69,Bolsas_caninas
OCTUBRE,Basura,16,HORTALEZA,143.793,Mueble,126,Envase,33.285,Papel_y_Carton,614.27,Bolsas_caninas
OCTUBRE,Basura,20,SAN BLAS,106.818,Mueble,94,Envase,24.726,Papel_y_Carton,572.05,Bolsas_caninas
OCTUBRE,Basura,21,BARAJAS,61.625,Mueble,54,Envase,14.265,Papel_y_Carton,450.38,Bolsas_caninas
OCTUBRE,Basura,13,PUENTE DE VALLECAS ,215.003,Mueble,406,Envase,21.221,Papel_y_Carton,648.83,Bolsas_caninas
OCTUBRE,Basura,18,VILLA DE VALLECAS ,79.287,Mueble,174,Envase,9.095,Papel_y_Carton,371.44,Bolsas_caninas
OCTUBRE,Basura,14,MORATALAZ,171.432,Mueble,464,Envase,24.525,Papel_y_Carton,315.86,Bolsas_caninas
